luxury_score,renovation_status,floor_heating,guest_toilet
6,refurbished,False,False
5,refurbished,False,False
6,normal,False,True
7,refurbished,False,False
4,refurbished,False,False
1,normal,False,False
4,refurbished,False,False
5,refurbished,False,False
3,normal,False,False
7,first_occupancy,False,False
8,refurbished,False,False
6,refurbished,False,False
5,refurbished,False,False
4,normal,False,False
3,normal,False,False
3,normal,False,False
4,normal,False,False
8,normal,False,False
6,refurbished,False,False
7,normal,False,False
4,normal,False,False
5,normal,False,False
6,normal,False,False
2,normal,False,False
4,normal,False,False
5,normal,False,False
6,normal,False,True
1,normal,False,False
3,normal,False,False
2,normal,False,False
3,normal,False,False
2,normal,False,False
4,normal,False,False
3,refurbished,False,False
5,refurbished,False,False
3,refurbished,False,False
3,refurbished,False,False
9,refurbished,False,False
2,normal,False,False
3,refurbished,False,False
2,normal,False,False
4,refurbished,False,False
2,normal,False,False
2,normal,False,False
4,refurbished,False,False
4,refurbished,False,False
3,normal,False,False
3,normal,False,False
4,refurbished,False,False
2,normal,False,False
3,normal,False,False
7,refurbished,False,False
4,refurbished,False,False
5,refurbished,False,False
4,refurbished,False,False
4,refurbished,False,False
5,refurbished,False,False
2,normal,False,False
6,first_occupancy,True,False
5,refurbished,False,False
5,refurbished,False,False
7,normal,False,True
3,normal,False,False
4,refurbished,False,False
0,unknown,False,False
8,normal,False,True
3,normal,False,False
4,normal,False,True
4,refurbished,False,False
3,refurbished,False,False
5,refurbished,False,False
7,normal,False,True
6,refurbished,False,False
4,normal,False,True
4,normal,False,False
5,normal,False,False
7,normal,False,False
8,first_occupancy,False,False
5,refurbished,False,False
4,normal,False,False
7,refurbished,True,False
7,refurbished,False,True
3,refurbished,False,False
3,refurbished,False,False
4,refurbished,False,False
3,normal,False,False
6,refurbished,False,True
5,refurbished,False,False
4,normal,False,False
4,normal,False,False
4,normal,False,False
4,normal,False,False
5,refurbished,False,False
6,normal,False,False
5,normal,False,False
6,normal,True,False
7,refurbished,False,True
3,refurbished,False,False
3,normal,False,False
1,normal,False,False
6,refurbished,False,False
0,unknown,False,False
5,first_occupancy,False,False
4,first_occupancy,False,False
5,refurbished,False,False
2,normal,False,False
6,first_occupancy,True,False
7,normal,False,False
3,normal,False,False
4,refurbished,False,False
6,refurbished,True,False
7,first_occupancy,False,True
4,refurbished,False,False
4,normal,False,False
3,normal,False,False
3,refurbished,False,False
1,normal,False,False
3,refurbished,False,False
2,normal,False,False
1,normal,False,False
1,normal,False,False
3,normal,False,False
2,normal,False,False
4,refurbished,False,False
4,refurbished,False,True
2,normal,False,False
3,normal,False,False
4,normal,False,False
1,normal,False,False
4,first_occupancy,False,False
3,refurbished,False,False
4,normal,False,False
1,normal,False,False
5,refurbished,False,True
3,refurbished,False,False
5,refurbished,False,False
3,normal,False,False
6,refurbished,False,False
3,normal,False,True
4,normal,False,False
5,first_occupancy,False,False
2,normal,False,False
3,refurbished,False,False
5,normal,False,False
2,normal,False,False
2,normal,False,False
3,normal,False,False
7,first_occupancy,True,False
4,refurbished,False,False
4,refurbished,False,False
3,normal,False,False
2,normal,False,False
2,normal,False,False
4,refurbished,False,False
1,normal,False,False
1,normal,False,False
5,first_occupancy,False,False
1,normal,False,False
3,normal,False,False
2,first_occupancy,False,False
7,refurbished,True,False
2,needs_renovation,False,False
1,normal,False,False
1,normal,False,False
4,normal,False,True
5,normal,False,False
1,normal,False,False
3,normal,False,False
5,refurbished,False,True
5,refurbished,False,False
3,normal,False,False
1,normal,False,False
6,refurbished,False,False
2,normal,False,False
2,normal,False,False
8,first_occupancy,True,False
3,normal,False,False
9,refurbished,False,True
3,needs_renovation,False,False
7,refurbished,False,False
2,normal,False,False
4,refurbished,False,False
3,normal,False,False
3,normal,False,False
5,first_occupancy,False,True
4,refurbished,False,False
7,refurbished,True,False
5,normal,False,False
6,refurbished,False,False
